Uniprot Accession	Description	Gene	Peptides.used.for.quantitation	Confidence.score	Molecular weight (Da)	Dataset	Bnumber	Annotated functional COG groups (letter)	Annotated functional COG group (description)	Annotated functional COG class
P00452-2	Isoform Alpha' of Ribonucleoside-diphosphate reductase 1 subunit alpha OS=Escherichia coli (strain K12) GN=nrdA	nrdA	10	494.01	82789.58209	1	b2234	F	Nucleotide transport and metabolism	METABOLISM
P12008	Chorismate synthase OS=Escherichia coli (strain K12) GN=aroC PE=1 SV=4	aroC	10	567.91	39094.99499	2	b2329	E	Amino acid transport and metabolism	METABOLISM
P0A6J5	D-amino acid dehydrogenase small subunit OS=Escherichia coli (strain K12) GN=dadA PE=2 SV=1	dadA	10	484.9	47559.0476	2	b1189	E	Amino acid transport and metabolism	METABOLISM
P00926	D-serine dehydratase OS=Escherichia coli (strain K12) GN=dsdA PE=1 SV=3	dsdA	10	393.37	47852.13812	2	b2366	E	Amino acid transport and metabolism	METABOLISM
P30126	3-isopropylmalate dehydratase small subunit OS=Escherichia coli (strain K12) GN=leuD PE=1 SV=3	leuD	10	680.37	22455.24259	2	b0071	E	Amino acid transport and metabolism	METABOLISM
P31133	Putrescine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=potF PE=1 SV=3	potF	10	614.48	40795.98173	2	b0854	E	Amino acid transport and metabolism	METABOLISM
P00547	Homoserine kinase OS=Escherichia coli (strain K12) GN=thrB PE=1 SV=2	thrB	10	514.66	33583.89194	2	b0003	E	Amino acid transport and metabolism	METABOLISM
P0A6D7	Shikimate kinase 1 OS=Escherichia coli (strain K12) GN=aroK PE=1 SV=2	aroK	10	565.52	19508.09251	2	b3390	E	Amino acid transport and metabolism	METABOLISM
P0ADF8	Acetolactate synthase isozyme 1 small subunit OS=Escherichia coli (strain K12) GN=ilvN PE=1 SV=1	ilvN	10	670.52	11080.60733	2	b3670	E	Amino acid transport and metabolism	METABOLISM
P75823	Low specificity L-threonine aldolase OS=Escherichia coli (strain K12) GN=ltaE PE=1 SV=1	ltaE	10	587.83	36453.59645	2	b0870	E	Amino acid transport and metabolism	METABOLISM
Q46863	Putative binding protein ygiS OS=Escherichia coli (strain K12) GN=ygiS PE=1 SV=1	ygiS	10	473.99	60638.16307	1	b3020	E	Amino acid transport and metabolism	METABOLISM
P76027	Oligopeptide transport ATP-binding protein OppD OS=Escherichia coli (strain K12) GN=oppD PE=3 SV=2	oppD	10	556.37	37145.94441	2	b1246	EP	Amino acid transport and metabolism	METABOLISM
P30860	ABC transporter arginine-binding protein 1 OS=Escherichia coli (strain K12) GN=artJ PE=1 SV=2	artJ	10	660.72	26794.65139	2	b0860	ET	Amino acid transport and metabolism	METABOLISM
P0A7A9	Inorganic pyrophosphatase OS=Escherichia coli (strain K12) GN=ppa PE=1 SV=2	ppa	10	663.31	19673.02389	2	b4226	C	Energy production and conversion	METABOLISM
P0ABJ9	Cytochrome d ubiquinol oxidase subunit 1 OS=Escherichia coli (strain K12) GN=cydA PE=1 SV=1	cydA	10	647.64	58149.04843	2	b0733	C	Energy production and conversion	METABOLISM
P0ABI8	Ubiquinol oxidase subunit 1 OS=Escherichia coli (strain K12) GN=cyoB PE=1 SV=1	cyoB	10	534.62	74300.34181	2	b0431	C	Energy production and conversion	METABOLISM
P42593	2,4-dienoyl-CoA reductase [NADPH] OS=Escherichia coli (strain K12) GN=fadH PE=1 SV=3	fadH	10	558.77	72614.31572	2	b3081	C	Energy production and conversion	METABOLISM
P0A8P3	Probable Fe(2+)-trafficking protein OS=Escherichia coli (strain K12) GN=yggX PE=1 SV=2	yggX	10	371.21	10927.41601	2	b2962	CO	Energy production and conversion	METABOLISM
P76621	Protein CsiD OS=Escherichia coli (strain K12) GN=csiD PE=1 SV=2	csiD	10	467.21	37318.85063	2	b2659	-		
P0AAT9	Uncharacterized protein ybeL OS=Escherichia coli (strain K12) GN=ybeL PE=4 SV=1	ybeL	10	508.96	18767.35743	2	b0643	-		
P39401	Phosphoglycerol transferase I OS=Escherichia coli (strain K12) GN=mdoB PE=3 SV=2	mdoB	10	459.54	85422.54757	2		-		
P37626	Uncharacterized protein yhiI OS=Escherichia coli (strain K12) GN=yhiI PE=4 SV=1	yhiI	9	531.68	38786.71563	2	b3487	V	Defense mechanisms	CELLULAR PROCESSES AND SIGNALING
P77485	Sensor kinase CusS OS=Escherichia coli (strain K12) GN=cusS PE=1 SV=1	cusS	9	494.67	53686.03324	2	b0570	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P69407	Capsular synthesis regulator component B OS=Escherichia coli (strain K12) GN=rcsB PE=1 SV=1	rcsB	9	534.79	23637.75191	2	b2217	TK	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P0AAX8	Probable L,D-transpeptidase YbiS OS=Escherichia coli (strain K12) GN=ybiS PE=1 SV=1	ybiS	9	560.61	33286.1605	2	b0819	S	Function unknown	POORLY CHARACTERIZED
P0A8X2	Protein yceI OS=Escherichia coli (strain K12) GN=yceI PE=1 SV=1	yceI	9	617	20881.61917	2	b1056	S	Function unknown	POORLY CHARACTERIZED
P0A8H6	Der GTPase-activating protein YihI OS=Escherichia coli (strain K12) GN=yihI PE=1 SV=1	yihI	9	722.88	19029.67039	2	b3866	S	Function unknown	POORLY CHARACTERIZED
P77649	UPF0061 protein ydiU OS=Escherichia coli (strain K12) GN=ydiU PE=1 SV=1	ydiU	9	555.53	54329.86646	1	b1706	S	Function unknown	POORLY CHARACTERIZED
P37691	Uncharacterized protein yibQ OS=Escherichia coli (strain K12) GN=yibQ PE=4 SV=2	yibQ	9	490.55	35312.38878	1	b3614	S	Function unknown	POORLY CHARACTERIZED
P0AFH8	Osmotically-inducible protein Y OS=Escherichia coli (strain K12) GN=osmY PE=1 SV=1	osmY	9	698.94	21042.86046	2	b4376	R	General function prediction only	POORLY CHARACTERIZED
P75874	Uncharacterized protein yccU OS=Escherichia coli (strain K12) GN=yccU PE=1 SV=2	yccU	9	627.88	14673.74948	2	b0965	R	General function prediction only	POORLY CHARACTERIZED
P45470	Protein yhbO OS=Escherichia coli (strain K12) GN=yhbO PE=1 SV=2	yhbO	9	428.88	18828.85417	2	b3153	R	General function prediction only	POORLY CHARACTERIZED
P0A8Y5	Phosphatase YidA OS=Escherichia coli (strain K12) GN=yidA PE=1 SV=1	yidA	9	394.61	29684.23219	2	b3697	R	General function prediction only	POORLY CHARACTERIZED
P0AGE6	Uncharacterized protein yieF OS=Escherichia coli (strain K12) GN=yieF PE=3 SV=1	yieF	9	459.37	20344.58726	2	b3713	R	General function prediction only	POORLY CHARACTERIZED
Q47679	UPF0012 hydrolase yafV OS=Escherichia coli (strain K12) GN=yafV PE=3 SV=1	yafV	9	438.84	28888.47765	1	b0219	R	General function prediction only	POORLY CHARACTERIZED
P75863	Uncharacterized protein ycbX OS=Escherichia coli (strain K12) GN=ycbX PE=1 SV=1	ycbX	9	519.81	40600.63921	2	b0947	R	General function prediction only	POORLY CHARACTERIZED
P0A9W9	Protein YrdA OS=Escherichia coli (strain K12) GN=yrdA PE=1 SV=1	yrdA	9	579.62	20214.2959	2	b3279	R	General function prediction only	POORLY CHARACTERIZED
P36649	Blue copper oxidase CueO OS=Escherichia coli (strain K12) GN=cueO PE=1 SV=2	cueO	9	504.84	56501.41538	2	b0123	Q	Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
P0ABU5	Enhancing lycopene biosynthesis protein 2 OS=Escherichia coli (strain K12) GN=elbB PE=1 SV=1	elbB	9	586.57	22948.79863	2	b3209	Q	Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
P0ADI4	Isochorismatase OS=Escherichia coli (strain K12) GN=entB PE=1 SV=1	entB	9	335.83	32515.26281	2	b0595	Q	Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
P64604	Probable phospholipid ABC transporter-binding protein mlaD OS=Escherichia coli (strain K12) GN=mlaD PE=1 SV=1	mlaD	9	548.1	19546.14199	2	b3193	Q	Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
P0A9A9	Ferric uptake regulation protein OS=Escherichia coli (strain K12) GN=fur PE=1 SV=1	fur	9	695.04	16766.34053	2	b0683	P	Inorganic ion transport and metabolism	METABOLISM
P61517	Carbonic anhydrase 2 OS=Escherichia coli (strain K12) GN=can PE=1 SV=1	can	9	712.03	25062.79563	2	b0126	P	Inorganic ion transport and metabolism	METABOLISM
P31060	Putative molybdenum transport ATP-binding protein ModF OS=Escherichia coli (strain K12) GN=modF PE=3 SV=2	modF	9	495.84	54484.31679	2	b0760	P	Inorganic ion transport and metabolism	METABOLISM
P0AG78	Sulfate-binding protein OS=Escherichia coli (strain K12) GN=sbp PE=1 SV=1	sbp	9	550	36618.84053	2	b3917	P	Inorganic ion transport and metabolism	METABOLISM
P39172	High-affinity zinc uptake system protein znuA OS=Escherichia coli (strain K12) GN=znuA PE=1 SV=4	znuA	9	405.72	33738.19213	2	b1857	P	Inorganic ion transport and metabolism	METABOLISM
P0A6L9	Co-chaperone protein hscB OS=Escherichia coli (strain K12) GN=hscB PE=1 SV=1	hscB	9	517.52	20107.15818	2	b2527	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P42620	Uncharacterized protein yqjG OS=Escherichia coli (strain K12) GN=yqjG PE=3 SV=1	yqjG	9	469.36	37344.61414	2	b3102	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P0A746	Peptide methionine sulfoxide reductase msrB OS=Escherichia coli (strain K12) GN=msrB PE=1 SV=1	msrB	9	516.21	15423.22096	2	b1778	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P76104	Uncharacterized protease ydcP OS=Escherichia coli (strain K12) GN=ydcP PE=1 SV=2	ydcP	9	332.91	72638.30677	1	b1435	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P02918	Penicillin-binding protein 1A OS=Escherichia coli (strain K12) GN=mrcA PE=1 SV=1	mrcA	9	465.65	93559.40765	2	b3396	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P0A917	Outer membrane protein X OS=Escherichia coli (strain K12) GN=ompX PE=1 SV=1	ompX	9	589.03	18572.91003	2	b0814	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P0A905	Outer membrane lipoprotein slyB OS=Escherichia coli (strain K12) GN=slyB PE=2 SV=1	slyB	9	609.67	15574.05822	2	b1641	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P76397	Multidrug resistance protein mdtA OS=Escherichia coli (strain K12) GN=mdtA PE=2 SV=2	mdtA	9	375.27	44419.35351	2	b2074	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P0C0S1	Small-conductance mechanosensitive channel OS=Escherichia coli (strain K12) GN=mscS PE=1 SV=1	mscS	9	533.46	30858.6734	2	b2924	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P0A6W5	Transcription elongation factor greA OS=Escherichia coli (strain K12) GN=greA PE=1 SV=1	greA	9	616.61	17612.06622	2	b3181	K	Transcription	INFORMATION STORAGE AND PROCESSING
P13445	RNA polymerase sigma factor rpoS OS=Escherichia coli (strain K12) GN=rpoS PE=3 SV=3	rpoS	9	703.86	37930.72627	2	b2741	K	Transcription	INFORMATION STORAGE AND PROCESSING
P0ABF1	Poly(A) polymerase OS=Escherichia coli (strain K12) GN=pcnB PE=1 SV=2	pcnB	9	400.91	53819.05532	2	b0143	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0A7J3	50S ribosomal protein L10 OS=Escherichia coli (strain K12) GN=rplJ PE=1 SV=2	rplJ	9	464.84	17682.37957	2	b3985	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0AA10	50S ribosomal protein L13 OS=Escherichia coli (strain K12) GN=rplM PE=1 SV=1	rplM	9	606.86	15990.53156	2	b3231	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0A7K6	50S ribosomal protein L19 OS=Escherichia coli (strain K12) GN=rplS PE=1 SV=2	rplS	9	491.83	13107.18035	2	b2606	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0AA43	Ribosomal small subunit pseudouridine synthase A OS=Escherichia coli (strain K12) GN=rsuA PE=1 SV=1	rsuA	9	550.85	25831.22795	2	b2183	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P00960	Glycyl-tRNA synthetase alpha subunit OS=Escherichia coli (strain K12) GN=glyQ PE=1 SV=2	glyQ	9	680.57	34734.16	2	b3560	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0ADB1	Osmotically-inducible lipoprotein E OS=Escherichia coli (strain K12) GN=osmE PE=2 SV=1	osmE	9	531.27	11994.89181	2	b1739	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P37440	Oxidoreductase ucpA OS=Escherichia coli (strain K12) GN=ucpA PE=1 SV=3	ucpA	9	621.91	27814.33763	2	b2426	IQR	Lipid transport and metabolism	METABOLISM
P12996	Biotin synthase OS=Escherichia coli (strain K12) GN=bioB PE=1 SV=2	bioB	9	716.85	38605.23075	2	b0775	H	Coenzyme transport and metabolism	METABOLISM
P60716	Lipoyl synthase OS=Escherichia coli (strain K12) GN=lipA PE=1 SV=1	lipA	9	519.88	36030.34041	2	b0628	H	Coenzyme transport and metabolism	METABOLISM
P0AFU8	Riboflavin synthase alpha chain OS=Escherichia coli (strain K12) GN=ribE PE=1 SV=1	ribC	9	520.09	23412.01845	2	b1662	H	Coenzyme transport and metabolism	METABOLISM
P0AEN1	NAD(P)H-flavin reductase OS=Escherichia coli (strain K12) GN=fre PE=1 SV=2	fre	9	687.25	26207.32303	2	b3844	HC	Coenzyme transport and metabolism	METABOLISM
P0AC86	Glycogen phosphorylase OS=Escherichia coli (strain K12) GN=glgP PE=3 SV=1	glgP	9	692.64	93096.09715	2	b3428	G	Carbohydrate transport and metabolism	METABOLISM
P0AF18	N-acetylglucosamine-6-phosphate deacetylase OS=Escherichia coli (strain K12) GN=nagA PE=1 SV=1	nagA	9	565.69	40905.11211	2	b0677	G	Carbohydrate transport and metabolism	METABOLISM
P0AF24	Protein nagD OS=Escherichia coli (strain K12) GN=nagD PE=1 SV=1	nagD	9	623.44	27127.68109	2	b0675	G	Carbohydrate transport and metabolism	METABOLISM
P09099	Xylulose kinase OS=Escherichia coli (strain K12) GN=xylB PE=1 SV=1	xylB	9	615.97	52566.57799	2	b3564	G	Carbohydrate transport and metabolism	METABOLISM
P39173	Putative glucose-6-phosphate 1-epimerase OS=Escherichia coli (strain K12) GN=yeaD PE=1 SV=2	yeaD	9	916.95	32627.64631	2	b1780	G	Carbohydrate transport and metabolism	METABOLISM
P15067	Glycogen debranching enzyme OS=Escherichia coli (strain K12) GN=glgX PE=1 SV=3	glgX	9	469.37	73512.46612	2	b3431	G	Carbohydrate transport and metabolism	METABOLISM
P68187	Maltose/maltodextrin import ATP-binding protein MalK OS=Escherichia coli (strain K12) GN=malK PE=1 SV=1	malK	9	657.81	40946.59286	2	b4035	G	Carbohydrate transport and metabolism	METABOLISM
P04983	Ribose import ATP-binding protein RbsA OS=Escherichia coli (strain K12) GN=rbsA PE=1 SV=1	rbsA	9	508.33	54988.72377	2	b3749	G	Carbohydrate transport and metabolism	METABOLISM
P37387	D-xylose-binding periplasmic protein OS=Escherichia coli (strain K12) GN=xylF PE=1 SV=1	xylF	9	566.21	35693.7284	2	b3566	G	Carbohydrate transport and metabolism	METABOLISM
P0ABF6	Cytidine deaminase OS=Escherichia coli (strain K12) GN=cdd PE=1 SV=1	cdd	9	492.97	31501.89874	2	b2143	F	Nucleotide transport and metabolism	METABOLISM
P0A9M2	Hypoxanthine phosphoribosyltransferase OS=Escherichia coli (strain K12) GN=hpt PE=1 SV=1	hpt	9	472.36	20084.39054	2	b0125	F	Nucleotide transport and metabolism	METABOLISM
P0A8F4	Uridine kinase OS=Escherichia coli (strain K12) GN=udk PE=3 SV=1	udk	9	377.47	24319.5763	2	b2066	F	Nucleotide transport and metabolism	METABOLISM
P69924	Ribonucleoside-diphosphate reductase 1 subunit beta OS=Escherichia coli (strain K12) GN=nrdB PE=1 SV=2	nrdB	9	584.64	43471.70663	2	b2235	F	Nucleotide transport and metabolism	METABOLISM
P0A7F3	Aspartate carbamoyltransferase regulatory chain OS=Escherichia coli (strain K12) GN=pyrI PE=1 SV=2	pyrI	9	744.73	17091.87674	2	b4244	F	Nucleotide transport and metabolism	METABOLISM
P04391	Ornithine carbamoyltransferase chain I OS=Escherichia coli (strain K12) GN=argI PE=1 SV=3	argI	9	1071.73	36865.4917	2	b4254	E	Amino acid transport and metabolism	METABOLISM
P07623	Homoserine O-succinyltransferase OS=Escherichia coli (strain K12) GN=metA PE=1 SV=4	metA	9	553.76	35686.96076	2	b4013	E	Amino acid transport and metabolism	METABOLISM
P0A7F6	S-adenosylmethionine decarboxylase proenzyme OS=Escherichia coli (strain K12) GN=speD PE=1 SV=1	speD	9	602.17	30347.05278	2	b0120	E	Amino acid transport and metabolism	METABOLISM
P0ADT5	Uncharacterized protein ygiC OS=Escherichia coli (strain K12) GN=ygiC PE=4 SV=1	ygiC	9	321.32	44979.1626	2	b3038	E	Amino acid transport and metabolism	METABOLISM
P0A9S3	Galactitol-1-phosphate 5-dehydrogenase OS=Escherichia coli (strain K12) GN=gatD PE=3 SV=1	gatD	9	589.42	37348.25439	2	b2091	ER	Amino acid transport and metabolism	METABOLISM
P00894	Acetolactate synthase isozyme 3 small subunit OS=Escherichia coli (strain K12) GN=ilvH PE=1 SV=3	ilvH	9	590.6	17947.67665	2	b0078	E	Amino acid transport and metabolism	METABOLISM
P0A9S7	High-affinity branched-chain amino acid transport ATP-binding protein LivG OS=Escherichia coli (strain K12) GN=livG PE=3 SV=1	livG	9	490.56	28390.87056	2	b3455	E	Amino acid transport and metabolism	METABOLISM
P77737	Oligopeptide transport ATP-binding protein OppF OS=Escherichia coli (strain K12) GN=oppF PE=3 SV=1	oppF	9	394.25	37155.62253	2	b1247	E	Amino acid transport and metabolism	METABOLISM
P75914	Putative hydrolase ycdX OS=Escherichia coli (strain K12) GN=ycdX PE=1 SV=1	ycdX	9	423.55	26855.38893	2	b1034	ER	Amino acid transport and metabolism	METABOLISM
P29131	Cell division protein ftsN OS=Escherichia coli (strain K12) GN=ftsN PE=1 SV=3	ftsN	9	469.93	35753.37745	2	b3933	D	Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
P0AF08	Protein mrp OS=Escherichia coli (strain K12) GN=mrp PE=3 SV=1	mrp	9	575.07	39894.51587	2	b2113	D	Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
P0A6U3	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG OS=Escherichia coli (strain K12) GN=mnmG PE=1 SV=1	mnmG	9	371.07	69459.73837	2	b3741	D	Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
P0ACD4	NifU-like protein OS=Escherichia coli (strain K12) GN=nifU PE=1 SV=1	iscU	9	494.3	13821.84619	2	b2529	C	Energy production and conversion	METABOLISM
P33232	L-lactate dehydrogenase [cytochrome] OS=Escherichia coli (strain K12) GN=lldD PE=1 SV=1	lldD	9	551.7	42682.9454	2	b3605	C	Energy production and conversion	METABOLISM
P0AFC7	NADH-quinone oxidoreductase subunit B OS=Escherichia coli (strain K12) GN=nuoB PE=1 SV=1	nuoB	9	473.2	25021.38614	2	b2287	C	Energy production and conversion	METABOLISM
P0A6E6	ATP synthase epsilon chain OS=Escherichia coli (strain K12) GN=atpC PE=1 SV=2	atpC	9	754.25	15040.73788	2	b3731	C	Energy production and conversion	METABOLISM
P00363	Fumarate reductase flavoprotein subunit OS=Escherichia coli (strain K12) GN=frdA PE=1 SV=3	frdA	9	545.2	65911.64933	2	b4154	C	Energy production and conversion	METABOLISM
P52647	Probable pyruvate-flavodoxin oxidoreductase OS=Escherichia coli (strain K12) GN=ydbK PE=3 SV=2	ydbK	9	405.85	128725.189	2	b1378	C	Energy production and conversion	METABOLISM
P37749	Uncharacterized protein yefG OS=Escherichia coli (strain K12) GN=yefG PE=4 SV=1	wbbI	9	565.39	37715.06647	2	b2034	-		
P62768	UPF0325 protein yaeH OS=Escherichia coli (strain K12) GN=yaeH PE=3 SV=1	yaeH	9	412.95	15068.91436	2	b0163	-		
P27305	Glutamyl-Q tRNA(Asp) synthetase OS=Escherichia coli (strain K12) GN=gluQ PE=1 SV=6	gluQ	9	415.47	34827.85594	1		-		
P13016	1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD OS=Escherichia coli (strain K12) GN=ampD PE=2 SV=1	ampD	8	462.43	20505.15669	1	b0110	V	Defense mechanisms	CELLULAR PROCESSES AND SIGNALING
P77619	UPF0214 protein yfeW OS=Escherichia coli (strain K12) GN=yfeW PE=3 SV=2	yfeW	8	422.01	47704.04158	1	b2430	V	Defense mechanisms	CELLULAR PROCESSES AND SIGNALING
P69425	Sec-independent protein translocase protein tatB OS=Escherichia coli (strain K12) GN=tatB PE=1 SV=1	tatB	8	385.36	18391.55204	2	b3838	U	Intracellular trafficking, secretion, and vesicular transport	CELLULAR PROCESSES AND SIGNALING
P77754	Spheroplast protein Y OS=Escherichia coli (strain K12) GN=spy PE=1 SV=1	spy	8	348.3	18169.28381	2	b1743	UNTP	Intracellular trafficking, secretion, and vesicular transport	CELLULAR PROCESSES AND SIGNALING
P0AEC3	Aerobic respiration control sensor protein ArcB OS=Escherichia coli (strain K12) GN=arcB PE=1 SV=1	arcB	8	357.55	87909.64099	2	b3210	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P15078	Carbon starvation protein A OS=Escherichia coli (strain K12) GN=cstA PE=1 SV=3	cstA	8	408.98	75037.56526	2	b0598	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P45955	Uncharacterized protein YbgF OS=Escherichia coli (strain K12) GN=ybgF PE=1 SV=2	ybgF	8	458.91	28196.1354	2	b0742	S	Function unknown	POORLY CHARACTERIZED
P27431	Uncharacterized protein ycfD OS=Escherichia coli (strain K12) GN=ycfD PE=4 SV=2	ycfD	8	391.54	42534.03822	2	b1128	S	Function unknown	POORLY CHARACTERIZED
P76576	UPF0070 protein yfgM OS=Escherichia coli (strain K12) GN=yfgM PE=3 SV=1	yfgM	8	544.81	22144.4226	2	b2513	S	Function unknown	POORLY CHARACTERIZED
